acpi 1.7-3
acpid 2.0.32-2
alacritty 0.8.0-1
alacritty-colorscheme 1.0.0-1
alsa-utils 1.2.4-2
amd-ucode 20210518.r1928.f846292-1
arduino 1:1.8.15-1
arm-none-eabi-binutils 2.36.1-2
arm-none-eabi-gcc 11.1.0-1
arm-none-eabi-newlib 4.1.0-1
asdf-vm 0.8.0-1
autoconf 2.71-1
autokey 0.95.10-1
automake 1.16.3-1
avr-gcc 11.1.0-1
avr-libc 2.0.0-4
avrdude 1:6.3-7
awesome-terminal-fonts 1.1.0-4
b43-fwcutter 019-3
baobab 40.0-1
bash 5.1.008-3
bat 0.18.1-1
betterdiscord-rauenzi-git 0.6.2.r44.g3683f89-1
betterdiscordctl-git 1.7.0.r1.g96285be-1
bind 9.16.16-1
binutils 2.35.1-1
bison 3.7.6-1
bluez-utils 5.58-1
btrfs-progs 5.12.1-1
bzip2 1.0.8-4
cheese 3.38.0-1
cherrytomato 1.0.0-1
clang 11.1.0-1
cmus 2.9.1-1
code 1.56.2-2
code-marketplace 1.54.3-4
coreutils 8.32-1
cozette-otb 1.9.3-1
cpupower 5.12-1
crda 4.14-4
cronie 1.5.7-2
cryptsetup 2.3.6-1
cups 1:2.3.3op2-3
dbeaver 21.0.5-2
dconf-editor 3.38.3-1
device-mapper 2.03.12-1
dfu-programmer 0.7.2-3
dfu-util 0.10-1
dhclient 4.4.2.P1-1
dhcpcd 9.4.0-1
diffutils 3.7-3
dina-font 2.92-10
direnv 2.28.0-1
discord 0.0.15-1
dmenu 5.0-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.85-1
docker 1:20.10.6-1
docker-compose 1.29.2-1
docker-machine 0.16.2-5
dolphin 21.04.1-1
dosfstools 4.2-1
downgrade 10.0.0-1
e2fsprogs 1.46.2-1
ecryptfs-utils 111-4
efibootmgr 17-2
eog 40.1-1
epiphany 40.1-1
evince 40.1-1
exa 0.10.1-1
exfat-utils 1.3.0-2
f2fs-tools 1.14.0-1
fakeroot 1.25.3-2
fd 8.2.1-1
figma-linux 0.7.2-2
file 5.40-5
file-roller 3.40.0-1
filesystem 2021.01.19-1
findutils 4.8.0-1
firefox 89.0-1
flex 2.6.4-3
foomatic-db 3:20210528-1
foomatic-db-engine 4:20200206-1
foomatic-db-gutenprint-ppds 5.3.4-1
foomatic-db-nonfree 3:20210528-1
foomatic-db-nonfree-ppds 3:20210528-1
foomatic-db-ppds 3:20210528-1
fzf 0.27.1-1
gawk 5.1.0-1
gcc 11.1.0-1
gcc-libs 11.1.0-1
gdm 40.0-6
gedit 40.1-1
gettext 0.21-1
glibc 2.33-5
gnome-backgrounds 40.1-1
gnome-books 40.0-1
gnome-boxes 40.1-1
gnome-calculator 40.1-1
gnome-calendar 40.1-1
gnome-characters 40.0-1
gnome-clocks 40.0-2
gnome-color-manager 3.36.0-1
gnome-contacts 40.0-1
gnome-control-center 40.0-1.2
gnome-disk-utility 40.1-1
gnome-documents 3.34.0+6+g966b04ec-1
gnome-font-viewer 40.0-1
gnome-getting-started-docs 3.38.1-1
gnome-logs 3.36.0-1
gnome-maps 40.1-1
gnome-menus 3.36.0-1
gnome-music 1:40.0-1
gnome-photos 40.0-1
gnome-remote-desktop 40.1-1
gnome-screenshot 40.0-2
gnome-session 40.1.1-1
gnome-settings-daemon 40.0.1-1
gnome-shell 1:40.1-2
gnome-shell-extensions 40.1-1
gnome-software 40.1-1
gnome-system-monitor 40.1-1
gnome-terminal 3.40.1-1
gnome-themes-extra 3.28-2
gnome-tweaks 40.0-1
gnome-user-docs 40.1-1
gnome-user-share 3.34.0-2
gnome-video-effects 0.5.0+4+g9554041-2
gnome-weather 40.0-1
google-chrome 90.0.4430.93-1
grep 3.6-1
grilo-plugins 1:0.3.13-2
grim 1.3.2-1
groff 1.22.4-5
grub 2.04-22
grub-theme-manjaro 20.2-12
gst-plugins-ugly 1.18.4-2
gvfs 1.48.1-1
gvfs-afc 1.48.1-1
gvfs-goa 1.48.1-1
gvfs-google 1.48.1-1
gvfs-gphoto2 1.48.1-1
gvfs-mtp 1.48.1-1
gvfs-nfs 1.48.1-1
gvfs-smb 1.48.1-1
gzip 1.10-3
haveged 1.9.14-1
hplip 1:3.21.4-1
htop 3.0.5-1
i3lock 2.13-1
inetutils 1.9.4-9
inotify-tools 3.20.11.0-1
intel-ucode 20210216-1
interception-caps2esc-nocaps-git 0.1.3.r5.g1eca4a9-1
interception-dual-function-keys 1.4.0-1
interception-space2meta 0.1.1-1
interception-tools 0.6.6-1
iproute2 5.12.0-1
iptables 1:1.8.7-1
iputils 20210202-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
j4-dmenu-desktop 2.18-1
jfetch-git r102.17077f8-1
jfsutils 1.1.15-7
joplin-appimage 1.8.2-1
jq 1.6-4
kicad 5.1.10-1
kicad-library 5.1.10-1
kicad-library-3d 5.1.10-1
kitty 0.20.3-1
kwalletmanager 21.04.1-1
latte-dock 0.9.12-1
less 1:581.2-1
lib32-libva-vdpau-driver 0.7.4-6
lib32-mesa-vdpau 21.1.1-1
lib32-vulkan-intel 21.1.1-1
lib32-vulkan-radeon 21.1.1-1
libpipewire02 0.2.7-1
libtool 2.4.6+42+gb88cebd5-16
libva-mesa-driver 21.1.1-1
libva-vdpau-driver 0.7.4-5
licenses 20200427-1
linux-firmware 20210518.r1928.f846292-1
linux-latest 5.10-1
linux510 5.10.41-1
linux511 5.11.22-2
linux54 5.4.123-1
logrotate 3.18.0-1
losslesscut 3.23.8-1
lsb-release 1.4-13
lvm2 2.03.12-1
m4 1.4.18-3
make 4.3-3
mame 0.232-1
man-db 2.9.4-1
man-pages 5.11-1
manjaro-firmware 20160419-1
manjaro-release 21.0.4-1
manjaro-system 20210523-1
manjaro-zsh-config 0.20-3
marktext 0.16.3-1
mdadm 4.1-2
memtest86+ 5.01-4
mesa-vdpau 21.1.1-1
